车型信息,动力,车种,6月车型销量,车型,品线月销量,品线月销售额
现代 Tucson (ix35),ICE,SUV-C,17228, Tucson,154,23158
福特 Expedition,ICE,SUV-E,6970, Expedition,152,24244
三菱 Outlander,ICE,SUV-D,3936, Outlander,150,19519
#N/A,#N/A,#N/A,#N/A, HRV,148,28789
梅赛德斯-奔驰  GLE-Class (M-Class/ML-Class),ICE,SUV-E,4543, GLE,141,4681
#N/A,#N/A,#N/A,#N/A, Focus,137,7792
别克 Encore GX,ICE,SUV-C,6316, Encore,134,13258
雪佛兰 Traverse,ICE,SUV-D,10536, Traverse,131,32357
丰田 Corolla Cross,ICE,SUV-C,5373, Corolla Cross,126,24182
日产 Maxima,ICE,Car-E,1547, Maxima,123,24258
克莱斯勒  Chrysler,柴油 ,Class 5,1823, CHR,122,16570
#N/A,#N/A,#N/A,#N/A, Caravan,122,4673
#N/A,#N/A,#N/A,#N/A, 2009-2018 Dodge Ram,113,5099
#N/A,#N/A,#N/A,#N/A, Fusion,112,14165
#N/A,#N/A,#N/A,#N/A,86,111,1719
福特 Bronco Sport,ICE,SUV-C,11152, Bronco Sport,106,12055
#N/A,#N/A,#N/A,#N/A, RAV-4,98,19598
日产 Sentra,ICE,Car-C,12720, Sentra,96,16671
沃尔沃汽车  XC90 (Volvo Cars ),ICE,SUV-E,2776, XC90,90,4432
现代 Santa Fe,ICE,SUV-D,11276, Santa Fe,88,12587
现代 Kona,ICE,SUV-C,4791, Kona,87,9274
#N/A,#N/A,#N/A,#N/A, E150,85,8575
本田 HR-V,ICE,SUV-C,9136, HR-V,81,14682
雪佛兰 Trailblazer,ICE,SUV-C,11579, Trailblazer,77,13105
丰田 Venza,HV,SUV-D,2384, Venza,76,14693
#N/A,#N/A,#N/A,#N/A, Hummer,76,9443
#N/A,#N/A,#N/A,#N/A, RX350,75,6008
雷克萨斯 Lexus RX,ICE,SUV-E,10274, Lexus RX,73,11555
本田 Ridgeline,ICE,Pickup Truck,4678, Ridgeline,71,10876
雪佛兰 Chevrolet Express,ICE,van,3290, Chevrolet Express,70,7948
本田 Odyssey,ICE,MPV,5239, Odyssey,69,18047
福特 Ford E-Series,ICE,van,2820, E-Series,69,10867
马自达 CX-30,ICE,SUV-C,6612, CX-30,68,9427
#N/A,#N/A,#N/A,#N/A, Spark,68,3194
#N/A,#N/A,#N/A,#N/A, Mazda 3,67,8931
梅赛德斯-奔驰  S-Class,ICE,Car-F,1044, S-Class,67,2411
#N/A,#N/A,#N/A,#N/A, Element,67,4854
吉普  Renegade,ICE,SUV-B,1515, Renegade,65,10482
起亚 Soul,ICE,Car-C,5202, Soul,62,9709
#N/A,#N/A,#N/A,#N/A, Sequoia,60,5285
#N/A,#N/A,#N/A,#N/A, TSX,60,4131
现代 IONIQ 5,EV,SUV-D,3136, IONIQ 5,56,4792
起亚 Kia Forte,ICE,Car-C,10330, Kia Forte,55,7829
雪佛兰 Malibu,ICE,Car-D,14020, Malibu,52,6535
#N/A,#N/A,#N/A,#N/A, SRX,52,9369
沃尔沃汽车  XC60 (Volvo Cars ),ICE,SUV-D,3300, XC60,49,1228
沃尔沃汽车  XC40 (Volvo Cars ),ICE,SUV-C,1643, XC40,49,1228
#N/A,#N/A,#N/A,#N/A, S60,48,1089
#N/A,#N/A,#N/A,#N/A, S90,48,1089
#N/A,#N/A,#N/A,#N/A, V60,48,1089
#N/A,#N/A,#N/A,#N/A, V90,48,1089
吉普  Compass (Jeep ),ICE,SUV-C,8615, Compass,44,8540
别克 Enclave,ICE,SUV-D,3547, Enclave,43,10390
#N/A,#N/A,#N/A,#N/A, Veloster,39,1083
讴歌 Acura TLX,ICE,Car-D,2013, Acura TL,38,7246
#N/A,#N/A,#N/A,#N/A, E-150,38,2087
#N/A,#N/A,#N/A,#N/A, Flex,37,4391
#N/A,#N/A,#N/A,#N/A, Insight,36,778
#N/A,#N/A,#N/A,#N/A, Avalon,35,2403
雷克萨斯 Lexus ES,ICE,Car-E,3611, Lexus ES,35,5520
日产 Pathfinder,ICE,SUV-D,5082, Pathfinder,33,6126
马自达 MX-5 (Miata),ICE,Car-C,866, MX-5,33,3792
#N/A,#N/A,#N/A,#N/A, Supra,31,1112
福特 Mustang Mach-E,EV,SUV-D,4110, Mustang Mach-E,31,4436
#N/A,#N/A,#N/A,#N/A, IS350,30,4093
宝马 X5,ICE,SUV-E,6208, X5,29,5001
现代 Santa Cruz,ICE,Pickup Truck,3627, Santa Cruz,29,4658
#N/A,#N/A,#N/A,#N/A, IS300,29,3466
Lincoln Lincoln Nautilus,ICE,SUV-D,2286, Lincoln,29,3851
斯巴鲁 Ascent,ICE,SUV-D,5889, Ascent,28,5179
#N/A,#N/A,#N/A,#N/A, C-HR,28,5078
宝马 BMW 5 Series,ICE,Car-E,1439, BMW 5 Series,27,1160
路虎  Range Rover (Land Rover ),ICE,SUV-E,1432, Range Rover,27,5347
别克 Encore GX,ICE,SUV-C,6316, Encore GX,26,4287
讴歌 Acura RDX,ICE,SUV-D,3502, Acura RDX,25,4569
#N/A,#N/A,#N/A,#N/A, Range Rover Sport,25,4975
日产 Kicks,ICE,SUV-C,5955, Kicks,24,3734
#N/A,#N/A,#N/A,#N/A, Mazda 6,24,1660
奥迪 Audi A3,ICE,Car-C,1073, Audi A3,23,3459
#N/A,#N/A,#N/A,#N/A, IS250,22,2574
#N/A,#N/A,#N/A,#N/A, Acura ILX,22,2591
克莱斯勒  Chrysler 300 series (Chrysler ),ICE,Car-E,1635, Chrysler 300,20,3536
斯巴鲁 XV,ICE,SUV-C,13788, XV,19,2456
#N/A,#N/A,#N/A,#N/A, Cooper,19,1755
雪佛兰 Blazer,ICE,SUV-D,6290, Blazer,18,3378
Cadillac Cadillac XT5,ICE,SUV-D,1985, Cadillac XT5,18,2170
福特 Transit Connect,ICE,van,1508, Transit Connect,18,2617
大众 Taos,ICE,SUV-C,4403, Taos,17,3061
起亚 NIRO,HV,SUV-C,2892, NIRO,17,2708
大众 ID.4,EV,SUV-C,2836, ID.4,16,2907
#N/A,#N/A,#N/A,#N/A, Infiniti Q50,15,2171
#N/A,#N/A,#N/A,#N/A, Journey,15,2092
