车型信息,动力,车种,6月车型销量,车型,垫类总额月销量,垫类总额月销售额,后备箱垫+椅背垫月销量,后备箱垫+椅背垫月销售额,后备箱垫+脚垫月销量,后备箱垫+脚垫月销售额,后备箱垫+椅背垫+脚垫月销量,后备箱垫+椅背垫+脚垫月销售额,后备箱垫单品月销量,后备箱垫单品月销售额,脚垫单品月销量,脚垫单品月销售额,椅背垫单品月销量,椅背垫单品月销售额
起亚 Sportage,ICE,SUV-C,13128, Sportage,1934,205488,0,0,464,73577,17,3397,393,23166,1037,102018,0,0
本田 Odyssey,ICE,MPV,5239, Odyssey,1276,200661,0,0,542,98501,0,0,108,8700,626,93460,0,0
丰田 Highlander,ICE,SUV-D,18761, Highlander,2108,197658,1053,72497,183,26757,13,1318,235,7178,624,89908,0,0
现代 Tucson (ix35),ICE,SUV-C,17228, Tucson,1766,194823,143,12975,577,72686,42,8410,286,22407,712,77154,0,0
雪佛兰 C/K Suburban,ICE,SUV-E,5209, Suburban,1362,194388,0,0,302,60239,0,0,396,37322,632,93313,0,0
雪佛兰 Traverse,ICE,SUV-D,10536, Traverse,1377,188382,0,0,391,62107,0,0,244,16322,742,109953,0,0
起亚 Sorento (KX7),ICE,SUV-D,7607, Sorento,1350,185543,0,0,40,6059,172,32678,292,25064,841,120345,0,0
宝马 X5,ICE,SUV-E,6208, X5,1802,182750,12,1198,632,62247,12,2758,93,9242,1044,105157,0,0
丰田 Tundra,ICE,Pickup Truck,10500, Tundra,1562,179323,0,0,12,1944,0,0,272,14818,1277,162452,0,0
GMC Yukon XL,ICE,SUV-E,3045, Yukon XL,1198,175528,0,0,295,58909,0,0,327,28884,565,86390,0,0
GMC Terrain,ICE,SUV-C,6334, Terrain,1553,169328,387,42370,132,20993,8,1839,443,30338,575,72197,0,0
Cadillac Escalade,ICE,SUV-E,4497, Escalade,1300,166554,0,0,117,14245,0,0,386,40474,757,101037,0,0
丰田 Sienna,HV,MPV,6418, Sienna,1164,165583,0,0,210,22771,0,0,123,10855,826,131334,0,0
福特 Edge,ICE,SUV-D,7483, Edge,999,113752,20,1599,145,22568,0,0,238,18471,596,71114,0,0
福特 Escape,ICE,SUV-C,12465, Escape,1497,157562,132,13436,265,38172,0,0,329,25684,771,80270,0,0
Lincoln Lincoln Nautilus,ICE,SUV-D,2286, Lincoln,1352,146849,70,6998,131,16597,0,0,157,13972,944,102589,0,0
道奇  Durango (Dodge ),ICE,SUV-E,5793, Durango,1228,143561,0,0,95,12409,0,0,149,14892,932,108650,0,0
马自达 CX5,ICE,SUV-C,12861, CX5,1264,142856,41,2738,480,77747,54,9378,220,10090,469,42903,0,0
福特 Ford Maverick,HV,Pickup Truck,7473, Maverick,1096,137357,0,0,13,2429,0,0,155,12901,914,119620,0,0
大众,Cars,Car-C,1148, Golf,97,7245,0,0,101,7068,0,0,3,197,1144,111607,0,0
现代 Santa Fe,ICE,SUV-D,11276, Santa Fe,997,121842,0,0,206,37356,0,0,198,15786,542,67002,0,0
宝马 X3,ICE,SUV-D,5070, X3,1366,118870,19,868,252,18223,6,877,76,5268,1003,91907,0,0
Ram,ICE,Pickup Truck,未知销量, Ram 2500,754,115037,0,0,0,0,0,0,0,0,658,93305,0,0
Ram,ICE,Pickup Truck,未知销量, RAM 2500,754,115037,0,0,0,0,0,0,0,0,658,93305,0,0
起亚,ICE,MPV,4431,Sedona (Carnival),655,106428,58,6959,71,17113,0,0,166,11412,258,42435,0,0
福特 Expedition,ICE,SUV-E,6970, Expedition,771,104862,70,6998,204,31806,0,0,67,6462,376,51145,0,0
本田 Ridgeline,ICE,Pickup Truck,4678, Ridgeline,1670,104148,0,0,24,3599,0,0,13,779,1624,98448,0,0
路虎  Defender (Land Rover ),ICE,SUV-D,1996, Defender,2011,101754,0,0,167,8348,0,0,51,4289,1792,88868,0,0
日产 Pathfinder,ICE,SUV-D,5082, Pathfinder,777,99802,11,802,66,8895,3,569,70,5761,619,81539,0,0
克莱斯勒  Pacifica (Chrysler ),ICE,MPV,16953, Pacifica,728,99581,0,0,165,27367,0,0,179,14387,380,56710,0,0
吉普  Jeep Gladiator,ICE,Pickup Truck,5130, Gladiator,768,97936,0,0,0,0,0,0,100,10421,668,87515,0,0
丰田,ICE,SUV-C,7, C-HR,92,6473,0,0,2,119,0,0,0,0,90,6354,0,0
斯巴鲁,XV,SUV-C,13788, Crosstrek,853,87365,51,4737,37,4175,0,0,60,3465,613,73471,0,0
GMC Acadia,ICE,SUV-D,6872, Acadia,591,87241,0,0,10,1054,0,0,23,2786,557,83122,0,0
福特 Bronco Sport,ICE,SUV-C,11152, Bronco Sport,896,85813,41,2092,6,1195,0,0,377,27566,447,53744,11,393
丰田 Prius,HV,Car-C,1472, Prius,783,85148,0,0,49,5242,0,0,109,11284,625,68622,0,0
雪佛兰 Corvette,ICE,Car-F,3136, Corvette,590,85072,0,0,38,8237,0,0,47,2909,489,73399,0,0
斯巴鲁 Forester,ICE,SUV-C,10669, Forester,915,84768,211,23995,137,9187,0,0,116,9062,360,41206,0,0
道奇  Charger (Dodge ),ICE,Car-D,8047, Charger,733,83556,0,0,35,2410,0,0,12,1439,684,79370,0,0
福特 Transit,ICE,van,10977, Transit,927,83276,0,0,19,1916,0,0,7,1469,901,79891,0,0
福特 Mustang,ICE,Car-D,2060, Mustang,786,83129,0,0,22,3148,11,2198,68,4990,664,72203,1,45
梅赛德斯-奔驰  GLC-Class (GLK-Class),ICE,SUV-D,4702, GLC,783,81259,0,0,305,37960,0,0,108,6731,370,36568,0,0
现代 Avante (Elantra),ICE,Car-C,13424, Elantra,750,80871,0,0,55,10679,0,0,47,3173,637,65096,0,0
现代 IONIQ 5,EV,SUV-D,3136, Ioniq,674,80855,51,4589,140,18481,0,0,49,3014,414,50794,0,0
福特 Ford Ranger,ICE,Pickup Truck,4415, Ranger,810,80078,0,0,0,0,0,0,90,8895,597,67801,0,0
斯巴鲁 Outback,ICE,SUV-D,16225, Outback,677,79722,75,4292,33,6599,0,0,76,5565,492,63152,0,0
本田 HR-V,ICE,SUV-C,9136, HR-V,825,79433,16,1074,170,20437,2,359,59,3669,552,50515,0,0
未知品牌车型,未知动力,未知车种,未知销量, X4,930,79145,0,0,146,10126,0,0,14,1170,770,67849,0,0
吉普  Compass (Jeep ),ICE,SUV-C,8615, Compass,758,78610,20,2509,28,4282,26,4676,34,2676,650,64467,0,0
Tesla Model X,EV,SUV-E,2500, Model X,424,78484,0,0,90,17483,0,0,74,7736,258,52706,0,0
未知品牌车型,未知动力,未知车种,未知销量, F250,661,78285,0,0,0,0,0,0,0,0,570,60186,0,0
雪佛兰 Chevrolet Colorado,ICE,Pickup Truck,10664, Colorado,710,78199,0,0,0,0,0,0,0,0,710,78199,0,0
GMC Canyon,ICE,Pickup Truck,3496, Canyon,705,77164,0,0,0,0,0,0,0,0,705,77164,0,0
未知品牌车型,未知动力,未知车种,未知销量, RX350,736,71671,93,8796,108,8298,0,0,106,8973,429,45604,0,0
日产 Altima,ICE,Car-D,8093, Altima,677,71655,0,0,41,6289,0,0,22,1377,611,63588,0,0
斯巴鲁 Legacy,ICE,Car-D,2347, Legacy,562,71414,0,0,33,6599,0,0,1,71,479,61722,0,0
讴歌 Integra ,ICE,Car-C,2608, Integra,640,69609,0,0,0,0,0,0,24,1934,613,67131,0,0
道奇  Challenger (Dodge ),ICE,Car-D,4199, Challenger,511,69289,0,0,5,1077,0,0,36,4319,416,61693,0,0
讴歌 Acura MDX,ICE,SUV-E,5048, Acura MDX,559,69201,0,0,31,5542,9,1709,172,11448,321,43235,0,0
雪佛兰 Trailblazer,ICE,SUV-C,11579, Trailblazer,600,68520,167,18900,50,7999,0,0,38,3817,345,37804,0,0
宝马,ICE,SUV-E,861, X6,808,67575,0,0,207,8093,0,0,25,1137,576,58345,0,0
福特,未知动力,Car-D,停产, Fusion,553,65399,0,0,35,6298,0,0,26,2130,491,56857,0,0
现代 Sonata,ICE,Car-D,3834, Sonata,642,64005,0,0,68,9628,0,0,61,3913,513,50464,0,0
福特 Transit Connect,ICE,van,1508, Transit Connect,714,63918,0,0,0,0,0,0,7,1469,707,62449,0,0
道奇 (2021-),ICE,MPV,未知销量, Caravan,462,62876,0,0,42,3801,0,0,35,2799,374,55252,0,0
