车型信息,动力,车种,6月车型销量,车型,品线月销量,品线月销售额
#N/A,#N/A,#N/A,#N/A, Elantra,77,2556
现代 Avante (Elantra),ICE,Car-C,13424, Avante ,76,2537
现代 Avante (Elantra),ICE,Car-C,13424, Avante,76,2537
#N/A,#N/A,#N/A,#N/A, RZR,73,1932
丰田 Sienna,HV,MPV,6418, Sienna,70,2973
雪佛兰 C/K Suburban,ICE,SUV-E,5209, Suburban,69,1254
日产 Kicks,ICE,SUV-C,5955, Kicks,68,9342
#N/A,#N/A,#N/A,#N/A, 2002-2009 Dodge Ram,66,856
三菱 Outlander,ICE,SUV-D,3936, Outlander,59,11106
#N/A,#N/A,#N/A,#N/A, Yaris,59,412
日产 Sentra,ICE,Car-C,12720, Sentra,58,869
#N/A,#N/A,#N/A,#N/A, Honda Fit,58,5065
马自达 CX-50,ICE,SUV-D,3532, CX-50,57,6583
#N/A,#N/A,#N/A,#N/A, CX5,55,5114
#N/A,#N/A,#N/A,#N/A, Leaf,53,6193
日产 Nissan Titan,ICE,Pickup Truck,2455, Titan,52,3134
斯巴鲁 Legacy,ICE,Car-D,2347, Legacy,50,1410
雪佛兰 Traverse,ICE,SUV-D,10536, Traverse,50,5899
日产 Murano,ICE,SUV-D,2910, Murano,46,1421
现代 Kona,ICE,SUV-C,4791, Kona,45,3811
#N/A,#N/A,#N/A,#N/A, Countryman,45,670
#N/A,#N/A,#N/A,#N/A, C Class,41,614
斯巴鲁 WRX,ICE,Car-C,2326, WRX,40,356
雷克萨斯 Lexus IS,ICE,Car-D,1827, Lexus IS,40,652
#N/A,#N/A,#N/A,#N/A, IS250,39,623
Genesis Genesis GV70,ICE,SUV-D,1745, Genesis GV70,38,3740
日产 Altima,ICE,Car-D,8093, Altima,37,2110
道奇  Challenger (Dodge ),ICE,Car-D,4199, Challenger,36,557
讴歌 Acura RDX,ICE,SUV-D,3502, Acura RDX,36,3016
#N/A,#N/A,#N/A,#N/A, Sequoia,35,591
起亚 Sorento (KX7),ICE,SUV-D,7607, Sorento,34,1008
#N/A,#N/A,#N/A,#N/A, Insight,34,508
#N/A,#N/A,#N/A,#N/A, Mazda 6,34,2123
Lincoln Lincoln Navigator,ICE,SUV-E,1674, Lincoln Navigator,33,5144
雪佛兰 Blazer,ICE,SUV-D,6290, Blazer,31,2672
丰田 Corolla Cross,ICE,SUV-C,5373, Corolla Cross,31,2494
斯巴鲁 XV,ICE,SUV-C,13788, XV,30,2222
雪佛兰 Camaro,ICE,Car-D,3207, Camaro,27,596
奥迪 Audi Q5,ICE,SUV-D,5695, Audi Q5,27,4532
#N/A,#N/A,#N/A,#N/A, 325i,23,193
丰田 Crown,HV,Car-E,1177, Crown,23,279
起亚 EV6,EV,SUV-D,1458, EV6,23,2093
雪佛兰 Malibu,ICE,Car-D,14020, Malibu,20,388
#N/A,#N/A,#N/A,#N/A, E150,19,189
#N/A,#N/A,#N/A,#N/A, C-HR,19,280
#N/A,#N/A,#N/A,#N/A, E-150,19,189
#N/A,#N/A,#N/A,#N/A, Econoline,19,189
英菲尼迪 Infiniti QX60 (JX),ICE,SUV-E,2719, QX60,18,359
马自达 MX-5 (Miata),ICE,Car-C,866, MX-5,18,3431
#N/A,#N/A,#N/A,#N/A, G35,16,187
#N/A,#N/A,#N/A,#N/A, Juke,16,187
雪佛兰 Chevrolet Express,ICE,van,3290, Chevrolet Express,16,159
#N/A,#N/A,#N/A,#N/A, BRZ,14,433
#N/A,#N/A,#N/A,#N/A,86,14,433
宝马 3 Series,ICE,Car-D,2437, 3 Series,12,160
Cadillac Cadillac CT5,ICE,Car-E,1784, Cadillac CT5,12,227
